what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577754380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577755094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577767318
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577772663
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577773233
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577773731
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577774156
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458577774773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577789977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577792674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577794036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577817259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577958702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458577962504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578139169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578150745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578152396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578152674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578159315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578162857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578162952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578163083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578170303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578233150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578233351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578233484
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1458578260011
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1458578260179
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1458578260270
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1458578260718
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1458578260834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578263392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578271026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578271217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578271452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578277323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578280091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578305300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578344484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578344640
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458578385361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578389064
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458578393705
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458578393752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578393814
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1458578393830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1458578393830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578406361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578464536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578472739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578509256
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458578509428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458578509553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1458578514631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1458578522663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458578551945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458578552492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458578552914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458578553477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578570477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578572868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578577868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578582540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578639965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578642683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578642824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578650121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578655262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458578996901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458579024412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458579024534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458579422706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458579430221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458579434885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1458579434895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458579457348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458583480732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458583483559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458585768995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458585775177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458585779023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458585779672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458585781504
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458585785209
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1458585792549
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1458585792938
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1458585793029
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1458585793491
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1458585793813
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1458585794148
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1458585794150
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1458585794151
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1458585794539
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1458585795033
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1458585795167
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1458585795167
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1458585826621
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1458585826622
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1458585826623
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1458585826624
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1458585826625
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1458585826626
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1458585826627
